Name: CCTV1, URL: https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8, Date: 03-21-2024, Resolution: 1920x1080 • Fast, Response Time: 99ms
Name: CCTV1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?, Date: 02-23-2024, Resolution: 1920x1080 • Faster, Response Time: 357ms
Name: CCTV1, URL: http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8, Date: 03-20-2024, Resolution: 1920x1080 • Fastest, Response Time: 361ms
Name: CCTV1, URL: http://111.11.98.205:9900/hls/1/index.m3u8, Date: 03-14-2024, Resolution: 1920x1080 • Faster, Response Time: 386ms
Name: CCTV1, URL: http://61.140.113.33:808/hls/617/index.m3u8, Date: 03-20-2024, Resolution: 1920x1080 • Fastest, Response Time: 401ms
Name: CCTV1, URL: http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8, Date: 03-20-2024, Resolution: 1920x1080 • Fastest, Response Time: 420ms
Name: CCTV1, URL: http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8, Date: 03-20-2024, Resolution: 1920x1080 • Faster, Response Time: 426ms
Name: CCTV1, URL: http://110.178.52.190:8085/udp/239.1.1.7:8007, Date: 03-21-2024, Resolution: 1920x1080 • Fastest, Response Time: 427ms
Name: CCTV1, URL: http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8, Date: 03-20-2024, Resolution: 1920x1080 • Faster, Response Time: 453ms
Name: CCTV1, URL: http://120.211.119.222:8899/hls/1/index.m3u8, Date: 03-21-2024, Resolution: 1920x1080, Response Time: 461ms
Name: CCTV1, URL: https://live-play-shanghai.cctvnews.cctv.com/cctv/merge_cctv13.m3u8, Date: 03-21-2024, Resolution: 1920x1080 • Fastest, Response Time: 616ms
Name: CCTV1, URL: https://live-play-shanghai.cctvnews.cctv.com/cctv/merge_cctv13.m3u8, Date: 03-21-2024, Resolution: 1920x1080 • Fastest, Response Time: 623ms
